Year,Monthly_MSL,Unverified,Linear_Trend,High_Conf.,Low_Conf.
1856-01-01,-0.249,,-0.390,-0.381,-0.399,
1856-02-01,-0.247,,-0.390,-0.381,-0.398,
1856-03-01,-0.346,,-0.390,-0.381,-0.398,
1856-04-01,-0.355,,-0.389,-0.381,-0.398,
1856-05-01,-0.325,,-0.389,-0.381,-0.398,
1856-06-01,-0.462,,-0.389,-0.380,-0.397,
1856-07-01,-0.409,,-0.389,-0.380,-0.397,
1856-08-01,-0.392,,-0.388,-0.380,-0.397,
1856-09-01,-0.449,,-0.388,-0.380,-0.397,
1856-10-01,-0.457,,-0.388,-0.379,-0.396,
1856-11-01,-0.380,,-0.388,-0.379,-0.396,
1856-12-01,-0.289,,-0.387,-0.379,-0.396,
1857-01-01,-0.249,,-0.387,-0.379,-0.396,
1857-02-01,-0.284,,-0.387,-0.378,-0.395,
1857-03-01,-0.303,,-0.387,-0.378,-0.395,
1857-04-01,-0.340,,-0.386,-0.378,-0.395,
1857-05-01,-0.294,,-0.386,-0.378,-0.395,
1857-06-01,-0.319,,-0.386,-0.378,-0.394,
1857-07-01,-0.360,,-0.386,-0.377,-0.394,
1857-08-01,-0.356,,-0.385,-0.377,-0.394,
1857-09-01,-0.382,,-0.385,-0.377,-0.394,
1857-10-01,-0.427,,-0.385,-0.377,-0.393,
1857-11-01,-0.340,,-0.385,-0.376,-0.393,
1857-12-01,-0.274,,-0.385,-0.376,-0.393,
1858-01-01,-0.228,,-0.384,-0.376,-0.393,
1858-02-01,-0.272,,-0.384,-0.376,-0.392,
1858-03-01,-0.322,,-0.384,-0.375,-0.392,
1858-04-01,-0.380,,-0.384,-0.375,-0.392,
1858-05-01,-0.358,,-0.383,-0.375,-0.392,
1858-06-01,-0.341,,-0.383,-0.375,-0.391,
1858-07-01,-0.372,,-0.383,-0.375,-0.391,
1858-08-01,-0.444,,-0.383,-0.374,-0.391,
1858-09-01,-0.464,,-0.382,-0.374,-0.391,
1858-10-01,-0.506,,-0.382,-0.374,-0.390,
1858-11-01,-0.365,,-0.382,-0.374,-0.390,
1858-12-01,-0.277,,-0.382,-0.373,-0.390,
1859-01-01,-0.246,,-0.381,-0.373,-0.390,
1859-02-01,-0.256,,-0.381,-0.373,-0.390,
1859-03-01,-0.297,,-0.381,-0.373,-0.389,
1859-04-01,-0.346,,-0.381,-0.372,-0.389,
1859-05-01,-0.309,,-0.380,-0.372,-0.389,
1859-06-01,-0.371,,-0.380,-0.372,-0.389,
1859-07-01,-0.339,,-0.380,-0.372,-0.388,
1859-08-01,-0.343,,-0.380,-0.371,-0.388,
1859-09-01,-0.400,,-0.380,-0.371,-0.388,
1859-10-01,-0.421,,-0.379,-0.371,-0.388,
1859-11-01,-0.356,,-0.379,-0.371,-0.387,
1859-12-01,-0.238,,-0.379,-0.371,-0.387,
1860-01-01,-0.243,,-0.379,-0.370,-0.387,
1860-02-01,-0.253,,-0.378,-0.370,-0.387,
1860-03-01,-0.328,,-0.378,-0.370,-0.386,
1860-04-01,-0.355,,-0.378,-0.370,-0.386,
1860-05-01,-0.343,,-0.378,-0.369,-0.386,
1860-06-01,-0.337,,-0.377,-0.369,-0.386,
1860-07-01,-0.381,,-0.377,-0.369,-0.385,
