"Date","Global","GLand","GOcean","NH","NLand","NOcean","SH","SLand","SOcean","Tropics","TLand","TOcean","NExtTrpc","NxLand","NxOcean","SExtTrpc","SxLand","SxOcean","NoPolar","NpLand","NpOcean","SoPolar","SpLand","SpOcean","USA48","USA49","AUS"
1978-12-01,-0.48,-0.51,-0.47,-0.44,-0.47,-0.43,-0.52,-0.62,-0.5,-0.6,-0.62,-0.59,-0.37,-0.45,-0.31,-0.47,-0.55,-0.45,-0.39,-0.68,-0.06,-0.46,-0.38,-0.49,-1.29,-1.15,-1.3
1979-01-01,-0.48,-0.64,-0.41,-0.64,-0.87,-0.5,-0.31,-0.13,-0.35,-0.47,-0.54,-0.45,-0.73,-0.93,-0.55,-0.23,0.12,-0.29,-0.46,-0.95,0.1,-0.16,-0.15,-0.16,-3.23,-2.42,0.92
1979-02-01,-0.44,-0.56,-0.39,-0.48,-0.57,-0.42,-0.4,-0.53,-0.37,-0.36,-0.25,-0.39,-0.54,-0.67,-0.42,-0.41,-0.7,-0.36,-2.01,-2.3,-1.66,-0.8,-1.25,-0.59,-1.77,-1.85,-0.3
1979-03-01,-0.39,-0.52,-0.33,-0.47,-0.51,-0.44,-0.31,-0.53,-0.26,-0.36,-0.43,-0.35,-0.53,-0.54,-0.52,-0.27,-0.59,-0.21,-0.56,-0.47,-0.66,-0.53,-1.25,-0.18,-0.7,-0.39,0.22
1979-04-01,-0.41,-0.57,-0.34,-0.47,-0.62,-0.38,-0.34,-0.46,-0.32,-0.35,-0.37,-0.34,-0.54,-0.72,-0.38,-0.33,-0.43,-0.31,-0.84,-0.81,-0.88,-0.26,0.26,-0.51,-0.73,-0.46,-1.12
1979-05-01,-0.4,-0.56,-0.33,-0.53,-0.54,-0.52,-0.27,-0.62,-0.2,-0.46,-0.55,-0.44,-0.54,-0.53,-0.56,-0.19,-0.7,-0.09,-0.77,-0.56,-1.01,0.05,-0.43,0.27,-0.82,-0.75,-1.1
1979-06-01,-0.4,-0.61,-0.31,-0.5,-0.61,-0.44,-0.29,-0.62,-0.22,-0.37,-0.5,-0.33,-0.55,-0.63,-0.48,-0.27,-0.74,-0.19,-0.76,-1.14,-0.33,-0.98,-1.62,-0.67,-0.62,-0.67,-0.56
1979-07-01,-0.31,-0.57,-0.21,-0.22,-0.33,-0.14,-0.41,-1.11,-0.27,-0.41,-0.56,-0.37,-0.15,-0.33,0.01,-0.37,-1.35,-0.2,-0.2,-0.38,0,-0.95,-2.18,-0.37,-0.16,-0.1,-1.16
1979-08-01,-0.4,-0.54,-0.35,-0.35,-0.38,-0.33,-0.46,-0.91,-0.37,-0.37,-0.35,-0.38,-0.37,-0.43,-0.31,-0.47,-1.17,-0.35,-0.26,-0.35,-0.15,-1.01,-1.68,-0.69,-0.74,-0.37,-1.06
1979-09-01,-0.33,-0.44,-0.28,-0.33,-0.31,-0.34,-0.32,-0.73,-0.23,-0.35,-0.42,-0.33,-0.33,-0.29,-0.37,-0.29,-0.95,-0.17,-0.18,-0.02,-0.35,-0.11,-0.65,0.14,0.61,0.68,-0.76
